"finding_id","source_id","citation","country","setting","population","study_design","pathogen_scope_type","pathogen_targets","finding_applicability","finding_category","source_signal","hospital_acquired_definition","diagnostic_method","surveillance_frame_timing","comparator_reference_group","finding_text","exposure_transmission_context","predictors_risk_factors","labs_vitals_radiology","environmental_structural_factors","space_time_overlap_clustering","clinical_outcomes","operational_burden","differential_diagnosis_coinfection","seasonal_temporal_pattern","effect_sizes_model_performance","adjustment_level","key_limitations","study_reported_implication","codeblue_translation","translation_tags"
"bonin_2025_f03","bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","flu_and_rsv_nosocomial_testing_cohort","influenza|rsv","shared_both","shared_context","study_reported_implication","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
"bonin_2025_f04","bonin_2025","Bonin et al. (2025) DOI: 10.57187/s.4324","Switzerland","Regional hospital network / Swiss regional setting","8135 tests","Retrospective cohort","flu_and_rsv_nosocomial_testing_cohort","influenza|rsv","comparative","comparative_interpretation","comparative_findings","Nosocomial >=48h post-admission","Quadrivalent PCR","Testing cohort with pandemic-era temporal effects","Flu/RSV descriptive comparison","Flu vs RSV hospital burden described in same testing system","Deterioration around day 4 of stay; RSV noted explicitly","Cardiac disease; pulmonary disease; anemia","Quadrivalent PCR confirmation; 39% had pulmonary infiltrates","NR","NR","Mean stay 8 days; ICU/intermediate care 8.9%; RSV mortality 6%","Resource use mirrored bacterial HAP","Flu and RSV may mimic bacterial HAP; differential testing important","Pandemic suppression shifted cycles","Descriptive testing and positivity measures","Not clear if adjusted","Regional and testing-based dataset; not all findings influenza-specific","Quadrivalent PCR surveillance improves recognition of viral inpatient disease that can resemble bacterial HAP","Good for differential diagnosis, adult RSV comparison, and diagnostic-gap logic","dx_gap|resource_strain|differential_diagnosis|rsv"
"ursic_2025_f01","ursic_2025","Uršič et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viruses_in_hap_vap_context","influenza_a|influenza_b|influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","4 unsuspected influenza cases detected (3 Influenza A, 1 Influenza B)","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"ursic_2025_f02","ursic_2025","Uršič et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viruses_in_hap_vap_context","rhinovirus_enterovirus","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","Rhino/Entero 11 cases; mixed viral yield in ventilated ICU","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"ursic_2025_f03","ursic_2025","Uršič et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viruses_in_hap_vap_context","influenza_a|influenza_b|influenza|rhinovirus_enterovirus","shared_both","shared_context","study_reported_implication","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"ursic_2025_f04","ursic_2025","Uršič et al. (2025) DOI: 10.3390/jcm13226458","Slovenia","Mixed ICU","92 mechanically ventilated patients","Prospective/diagnostic comparative ICU study","mixed_viruses_in_hap_vap_context","influenza_a|influenza_b|influenza|rhinovirus_enterovirus","shared_both","shared_context","comparative_findings","HAP/VAP >=48h post-admission or intubation","BioFire PNplus panel vs culture","ICU ventilated cohort","Culture vs rapid multiplex PCR; unsuspected viral cases","Shows hidden influenza and other viruses missed by culture-based workflows","Culture-negative but clinically failing patients as trigger","NR","Antibiotics masked 43% of cultures; rapid PCR identified pathogens in 1.5h vs 72h","ICU ventilated environment only","NR","100% ventilation cohort; overall mortality 21.7%; median ICU 11d; total stay 21.5d","PCR significantly cut diagnostic lag","Co-circulation with S. aureus and K. pneumoniae; antibiotic adjustment in 62%","Higher viral yield in winter","1.5h vs 72h; 43% cultures masked; antibiotics adjusted in 62%","Diagnostic comparative study","Small ICU cohort; not influenza-only","Rapid multiplex PCR uncovers hidden influenza and other viral etiologies in ventilated HAP/VAP patients and materially changes stewardship","Excellent support for rapid testing, hidden influenza detection, and stewardship workflow","stewardship|pathogen_pack|rapid_testing|hidden_flu"
"zhang_2025_f01","zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_focused_with_background_non_flu_surveillance_context","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","4.7% of monitored influenza cases were HA; 39.2% severe illness incidence in HA-flu; mortality 18.8%; 11.38% of all flu was HA","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"zhang_2025_f02","zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_focused_with_background_non_flu_surveillance_context","non_influenza","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","Background non-flu surveillance context only","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"zhang_2025_f03","zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_focused_with_background_non_flu_surveillance_context","influenza|non_influenza","shared_both","shared_context","study_reported_implication","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"zhang_2025_f04","zhang_2025","Zhang et al. (2025) DOI: 10.3389/fpubh.2025.1495794","China","Zhengzhou Central Hospital","953 adults","Retrospective ML study","influenza_focused_with_background_non_flu_surveillance_context","influenza|non_influenza","comparative","comparative_interpretation","comparative_findings","HA onset >=48h post-admission","8 ML algorithms; XGBoost optimal","Jan 2021 to May 2024","HA-flu severity risk groups within monitored influenza cases","Non-flu surveillance often dominates and may miss HA-flu","Deterioration in high-risk screened groups","Age >60; malignant tumor; chronic renal failure; pneumonia","Lymphopenia; BMI; hypoproteinemia","NR","NR","Severe illness 39.2%; mortality 18.8%; prolonged hospitalization","Routine data could support early automated screening","Surveillance often misses HA-flu while focusing on bacteria/other viruses","Jan 2021-May 2024 longitudinal","XGBoost AUC 0.826; online tool for 73.3% risk probability alerts","ML model-based","Single-center retrospective model; details on external validation not in summary","Routine inpatient data can predict severe HA-influenza early enough to support automated screening","Strong direct support for influenza-specific risk engine and early warning logic","pathogen_pack|risk_profile|dx_gap|ml_screening"
"costa_salachas_2025_f01","costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","flu_and_other_hospital_acquired_viral_respiratory_infections","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","For influenza, HA incidence increased by +0.01/1000 days per 10% increase in double-room exposure","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"costa_salachas_2025_f02","costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","flu_and_other_hospital_acquired_viral_respiratory_infections","non_influenza","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","Overall HA-VRI incidence 0.57/1000 hospital-days; community incidence associated with HA incidence","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"costa_salachas_2025_f03","costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","flu_and_other_hospital_acquired_viral_respiratory_infections","influenza|non_influenza","shared_both","shared_context","study_reported_implication","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"costa_salachas_2025_f04","costa_salachas_2025","Costa Salachas et al. (2025) PMID: 40217353","France","900-bed university hospital, 27 wards","27 wards over 10 years","Retrospective cohort","flu_and_other_hospital_acquired_viral_respiratory_infections","influenza|non_influenza","comparative","comparative_interpretation","comparative_findings","Positive PCR >=5 days after admission","PCR plus linear mixed-effects model","10 consecutive years including pandemic","Ward-level architecture and community-incidence comparisons","Parallel architecture/transmission dynamics across flu and broader HA-VRI","Double-occupancy rooms; community incidence; mask and sanitizer utilization","Double-room density; community-acquired case density","NR","Double-occupancy room density as structural risk factor","Ward-level clustering tied to room occupancy and community incidence","Statistical association between architecture and HA transmission","Supports structural mitigation and ward-level prevention planning","Focus on viral transmission dynamics rather than bacterial coinfection","10-year period including pandemic disruption","p<0.001 for community-acquired case association with HA incidence; flu-specific increment +0.01/1000 days per 10% room increase","Linear mixed-effects modeling","Ward-level ecological design may limit patient-level causality","Hospital architecture, especially double-room density, materially influences hospital-acquired influenza and other viral transmission","Very strong for structural-risk and ward-vulnerability modules","ward_vulnerability|structural_risk|space_time_overlap|ipc"
"dabaja_younis_2024_f01","dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","covid_era_hospital_acquired_infection_ecology_with_influenza_comparison","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","Influenza did not trigger heightened vigilance or equivalent ICU escalation and showed no significant resistance impact","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"dabaja_younis_2024_f02","dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","covid_era_hospital_acquired_infection_ecology_with_influenza_comparison","sars_cov_2","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","COVID-era fear-based protocols altered bacterial ecology; CRE increased; MRSA declined","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"dabaja_younis_2024_f03","dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","covid_era_hospital_acquired_infection_ecology_with_influenza_comparison","influenza|sars_cov_2","shared_both","shared_context","study_reported_implication","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"dabaja_younis_2024_f04","dabaja_younis_2024","Dabaja-Younis et al. (2024) DOI: 10.1186/s12879-024-09240-0","Israel","1000-bed tertiary hospital","All ages","Retrospective cohort","covid_era_hospital_acquired_infection_ecology_with_influenza_comparison","influenza|sars_cov_2","comparative","comparative_interpretation","comparative_findings","Hospital-acquired identified >48h post-admission; C. difficile >=72h","Vitek-2 plus PCR","2016-2021; winter seasons vs pandemic waves","Seasonal influenza periods vs pandemic periods","Contrasts routine influenza-season behavior with pandemic response behavior","Healthcare worker behavior, burnout, shortages, and capacity limits influenced transmission-control response","Staff non-compliance and fear-based behavior differences were key operational predictors","Hand hygiene 70%; glove non-compliance 40%; no major behavior change during routine influenza periods","Environmental cleaning and PPE intensified during pandemic response","NR","No equivalent ICU escalation during seasonal influenza; secondary infection burden rose in pandemic response","High PPE use and intensified environmental cleaning during pandemic response","Altered bacterial spread: CRE up, MRSA down","Winter seasons Dec-Feb vs pandemic waves Mar-Nov","p=0.233 for no resistance impact in seasonal period; p=0.006 HA-BSI increase; p<0.001 MRSA decline","Comparative retrospective cohort","Not an influenza-outcome paper per se; behavior/institutional response focus","Response to routine influenza threats is weaker than to novel respiratory threats, with implications for compliance and automated enforcement","Important for governance logic and why automation is needed for routine respiratory threats","governance|ipc|human_factors|automation_justification"
"grant_2025_f01","grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_hospital_acquired_omicron_covid","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","HA-influenza had acute complications 35.3%, ICU 2.6%, IMCU 1.4%, mortality 6.1%","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
"grant_2025_f02","grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_hospital_acquired_omicron_covid","sars_cov_2_omicron|sars_cov_2","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","HA-Omicron mortality 6.2%, ICU 2.4%, IMCU 2.9%, median stay 12 days","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
"grant_2025_f03","grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_hospital_acquired_omicron_covid","influenza|sars_cov_2_omicron|sars_cov_2","shared_both","shared_context","study_reported_implication","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
"grant_2025_f04","grant_2025","Grant et al. (2025) DOI: 10.1093/cid/ciae558","Switzerland","9 tertiary/large regional hospitals","3769 adults","Retrospective nationwide cohort","hospital_acquired_influenza_vs_hospital_acquired_omicron_covid","influenza|sars_cov_2_omicron|sars_cov_2","comparative","comparative_interpretation","comparative_findings","Hospital-acquired symptom onset plus positive PCR >=3 days post-admission","PCR; Fine-Gray models","Jan 2022 to Mar 2023","868 HA-influenza vs 2901 HA-Omicron","Shows HA-influenza severity roughly comparable to HA-Omicron in mortality","Established inpatient respiratory symptoms with hospital-onset testing","Older age, higher Charlson score; lack of vaccination linked to prolonged stay","Positive influenza A/B PCR panel","NR","NR","Mortality 6.1% vs 6.2%; median stay 11 days for HA-flu; substantial acute complications","High critical care demand similar to Omicron","Secondary bacterial pneumonia frequent; bacterial coinfection not main focus","Temperate winter seasonality for flu; year-round pandemic context","sHR 0.91 for mortality equivalence framing; Fine-Gray models","Adjusted competing-risk modeling","Observational nationwide cohort; pathogen-specific comparability may still have residual confounding","Modern hospital-acquired influenza remains as clinically serious as HA-COVID in several key outcomes","Very strong modern justification that HA-influenza deserves high-severity operational treatment","problem_justification|comparative_epidemiology|unvaccinated|high_severity"
